ticker,titles,category
LIN,Linde plc,Basic Materials
BHPLF,BHP Group Limited,Basic Materials
RTNTF,Rio Tinto Group,Basic Materials
AIQUF,L'Air Liquide S.A.,Basic Materials
SHW,The Sherwin-Williams Company,Basic Materials
SCCO,Southern Copper Corporation,Basic Materials
ECL,Ecolab Inc.,Basic Materials
NEM,Newmont Corporation,Basic Materials
ZIJMF,Zijin Mining Group Company Limited,Basic Materials
AEM,Agnico Eagle Mines Limited,Basic Materials
HCMLY,Holcim AG,Basic Materials
CTA-PB,"EIDP, Inc.",Basic Materials
APD,"Air Products and Chemicals, Inc.",Basic Materials
CRH,CRH plc,Basic Materials
PTCAY,PT Chandra Asri Pacific Tbk,Basic Materials
SHECY,"Shin-Etsu Chemical Co., Ltd.",Basic Materials
FCX,Freeport-McMoRan Inc.,Basic Materials
BFFAF,BASF SE,Basic Materials
GVDNY,Givaudan SA,Basic Materials
GLCNF,Glencore plc,Basic Materials
CTVA,"Corteva, Inc.",Basic Materials
VALE,Vale S.A.,Basic Materials
SKFOF,Sika AG,Basic Materials
WPM,Wheaton Precious Metals Corp.,Basic Materials
GMBXF,"Grupo México, S.A.B. de C.V.",Basic Materials
